Longitude      Co-latitude    radius
-180.000000    10.066021      6357406.238    
-170.000000    10.066021      6357405.262    
-160.000000    10.066021      6357403.199    
-150.000000    10.066021      6357402.968    
-140.000000    10.066021      6357401.725    
-130.000000    10.066021      6357400.421    
-120.000000    10.066021      6357402.978    
-110.000000    10.066021      6357408.320    
-100.000000    10.066021      6357406.319    
-90.000000     10.066021      6357411.476    
-80.000000     10.066021      6357414.724    
-70.000000     10.066021      6357409.845    
-60.000000     10.066021      6357422.122    
-50.000000     10.066021      6357430.579    
-40.000000     10.066021      6357436.334    
-30.000000     10.066021      6357439.344    
-20.000000     10.066021      6357434.582    
-10.000000     10.066021      6357436.353    
-0.000000      10.066021      6357438.969    
10.000000      10.066021      6357438.040    
20.000000      10.066021      6357431.957    
30.000000      10.066021      6357427.083    
40.000000      10.066021      6357421.273    
50.000000      10.066021      6357415.792    
60.000000      10.066021      6357410.905    
70.000000      10.066021      6357405.303    
80.000000      10.066021      6357405.123    
90.000000      10.066021      6357404.311    
100.000000     10.066021      6357405.560    
110.000000     10.066021      6357404.348    
120.000000     10.066021      6357404.454    
130.000000     10.066021      6357403.864    
140.000000     10.066021      6357402.938    
150.000000     10.066021      6357405.246    
160.000000     10.066021      6357404.656    
170.000000     10.066021      6357403.807    
-180.000000    20.124007      6359275.286    
-170.000000    20.124007      6359273.844    
-160.000000    20.124007      6359272.322    
-150.000000    20.124007      6359271.592    
-140.000000    20.124007      6359270.335    
-130.000000    20.124007      6359264.808    
-120.000000    20.124007      6359257.802    
-110.000000    20.124007      6359248.219    
-100.000000    20.124007      6359245.461    
-90.000000     20.124007      6359247.267    
-80.000000     20.124007      6359254.375    
-70.000000     20.124006      6359275.799    
-60.000000     20.124006      6359296.431    
-50.000000     20.124006      6359301.927    
-40.000000     20.124006      6359318.084    
-30.000000     20.124005      6359328.836    
-20.000000     20.124005      6359332.521    
-10.000000     20.124005      6359328.782    
-0.000000      20.124006      6359321.642    
10.000000      20.124006      6359314.755    
20.000000      20.124006      6359302.485    
30.000000      20.124006      6359292.672    
40.000000      20.124006      6359283.502    
50.000000      20.124007      6359275.390    
60.000000      20.124007      6359269.679    
70.000000      20.124007      6359263.074    
80.000000      20.124007      6359260.122    
90.000000      20.124007      6359261.114    
100.000000     20.124007      6359258.372    
110.000000     20.124007      6359264.357    
120.000000     20.124007      6359264.576    
130.000000     20.124007      6359267.459    
140.000000     20.124007      6359272.504    
150.000000     20.124007      6359275.654    
160.000000     20.124006      6359276.314    
170.000000     20.124006      6359276.203    
-180.000000    30.166924      6362133.563    
-170.000000    30.166924      6362142.319    
-160.000000    30.166923      6362147.615    
-150.000000    30.166923      6362147.020    
-140.000000    30.166924      6362143.901    
-130.000000    30.166924      6362132.666    
-120.000000    30.166924      6362116.535    
-110.000000    30.166925      6362101.684    
-100.000000    30.166925      6362090.700    
-90.000000     30.166925      6362085.852    
-80.000000     30.166925      6362090.788    
-70.000000     30.166924      6362110.108    
-60.000000     30.166924      6362137.657    
-50.000000     30.166923      6362161.451    
-40.000000     30.166923      6362181.554    
-30.000000     30.166922      6362196.524    
-20.000000     30.166922      6362193.320    
-10.000000     30.166922      6362188.444    
-0.000000      30.166923      6362180.508    
10.000000      30.166923      6362173.436    
20.000000      30.166923      6362151.557    
30.000000      30.166923      6362148.491    
40.000000      30.166924      6362143.989    
50.000000      30.166924      6362138.850    
60.000000      30.166924      6362128.742    
70.000000      30.166924      6362111.406    
80.000000      30.166925      6362102.348    
90.000000      30.166925      6362098.968    
100.000000     30.166925      6362098.669    
110.000000     30.166925      6362104.925    
120.000000     30.166924      6362116.003    
130.000000     30.166924      6362132.877    
140.000000     30.166924      6362144.306    
150.000000     30.166923      6362149.041    
160.000000     30.166923      6362146.891    
170.000000     30.166924      6362141.843    
-180.000000    40.189611      6365626.146    
-170.000000    40.189610      6365637.508    
-160.000000    40.189610      6365639.415    
-150.000000    40.189610      6365631.922    
-140.000000    40.189611      6365620.524    
-130.000000    40.189611      6365613.745    
-120.000000    40.189611      6365616.385    
-110.000000    40.189611      6365614.232    
-100.000000    40.189611      6365608.196    
-90.000000     40.189611      6365597.076    
-80.000000     40.189612      6365592.515    
-70.000000     40.189611      6365605.786    
-60.000000     40.189611      6365619.391    
-50.000000     40.189610      6365655.983    
-40.000000     40.189609      6365676.264    
-30.000000     40.189609      6365694.575    
-20.000000     40.189609      6365693.717    
-10.000000     40.189609      6365690.468    
-0.000000      40.189609      6365676.985    
10.000000      40.189609      6365679.914    
20.000000      40.189609      6365671.640    
30.000000      40.189610      6365659.373    
40.000000      40.189610      6365642.767    
50.000000      40.189611      6365620.220    
60.000000      40.189611      6365612.757    
70.000000      40.189611      6365598.868    
80.000000      40.189612      6365587.580    
90.000000      40.189612      6365590.265    
100.000000     40.189612      6365590.006    
110.000000     40.189611      6365602.423    
120.000000     40.189611      6365627.781    
130.000000     40.189610      6365646.859    
140.000000     40.189610      6365654.606    
150.000000     40.189610      6365652.235    
160.000000     40.189610      6365638.301    
170.000000     40.189610      6365635.179    
-180.000000    50.189390      6369333.034    
-170.000000    50.189390      6369334.510    
-160.000000    50.189390      6369332.287    
-150.000000    50.189390      6369324.417    
-140.000000    50.189390      6369314.064    
-130.000000    50.189391      6369308.482    
-120.000000    50.189390      6369321.927    
-110.000000    50.189390      6369327.397    
-100.000000    50.189390      6369320.442    
-90.000000     50.189390      6369312.042    
-80.000000     50.189390      6369311.317    
-70.000000     50.189390      6369311.547    
-60.000000     50.189390      6369318.728    
-50.000000     50.189389      6369346.318    
-40.000000     50.189388      6369377.767    
-30.000000     50.189388      6369404.158    
-20.000000     50.189388      6369397.242    
-10.000000     50.189388      6369394.294    
-0.000000      50.189388      6369396.119    
10.000000      50.189388      6369390.463    
20.000000      50.189388      6369379.236    
30.000000      50.189388      6369384.175    
40.000000      50.189389      6369376.384    
50.000000      50.189390      6369327.573    
60.000000      50.189390      6369316.708    
70.000000      50.189391      6369304.360    
80.000000      50.189391      6369290.589    
90.000000      50.189391      6369279.294    
100.000000     50.189391      6369290.514    
110.000000     50.189390      6369317.247    
120.000000     50.189389      6369347.587    
130.000000     50.189389      6369368.319    
140.000000     50.189388      6369382.946    
150.000000     50.189389      6369362.209    
160.000000     50.189389      6369343.725    
170.000000     50.189390      6369334.586    
-180.000000    60.166364      6372817.627    
-170.000000    60.166364      6372819.545    
-160.000000    60.166364      6372816.153    
-150.000000    60.166365      6372808.946    
-140.000000    60.166365      6372796.867    
-130.000000    60.166365      6372784.466    
-120.000000    60.166365      6372782.363    
-110.000000    60.166365      6372794.869    
-100.000000    60.166365      6372801.598    
-90.000000     60.166365      6372797.388    
-80.000000     60.166365      6372792.444    
-70.000000     60.166366      6372773.186    
-60.000000     60.166365      6372784.190    
-50.000000     60.166365      6372807.319    
-40.000000     60.166364      6372841.393    
-30.000000     60.166363      6372855.049    
-20.000000     60.166363      6372858.860    
-10.000000     60.166363      6372868.366    
-0.000000      60.166363      6372859.229    
10.000000      60.166363      6372852.961    
20.000000      60.166363      6372850.931    
30.000000      60.166364      6372840.881    
40.000000      60.166364      6372835.682    
50.000000      60.166365      6372806.897    
60.000000      60.166365      6372809.573    
70.000000      60.166365      6372787.162    
80.000000      60.166365      6372787.917    
90.000000      60.166365      6372791.101    
100.000000     60.166365      6372791.247    
110.000000     60.166365      6372800.973    
120.000000     60.166364      6372832.682    
130.000000     60.166363      6372855.025    
140.000000     60.166363      6372866.604    
150.000000     60.166364      6372844.228    
160.000000     60.166364      6372828.135    
170.000000     60.166364      6372818.000    
-180.000000    70.123370      6375658.778    
-170.000000    70.123370      6375664.211    
-160.000000    70.123370      6375661.929    
-150.000000    70.123370      6375647.397    
-140.000000    70.123371      6375631.509    
-130.000000    70.123371      6375614.994    
-120.000000    70.123371      6375606.967    
-110.000000    70.123371      6375620.859    
-100.000000    70.123370      6375646.904    
-90.000000     70.123370      6375643.527    
-80.000000     70.123371      6375633.984    
-70.000000     70.123371      6375606.225    
-60.000000     70.123371      6375607.375    
-50.000000     70.123371      6375621.563    
-40.000000     70.123370      6375644.342    
-30.000000     70.123370      6375671.494    
-20.000000     70.123370      6375679.705    
-10.000000     70.123370      6375685.472    
-0.000000      70.123370      6375685.216    
10.000000      70.123370      6375681.147    
20.000000      70.123370      6375668.582    
30.000000      70.123370      6375663.582    
40.000000      70.123370      6375656.187    
50.000000      70.123371      6375623.653    
60.000000      70.123371      6375611.906    
70.000000      70.123371      6375593.718    
80.000000      70.123371      6375586.294    
90.000000      70.123371      6375594.883    
100.000000     70.123371      6375616.213    
110.000000     70.123370      6375641.173    
120.000000     70.123370      6375675.858    
130.000000     70.123369      6375692.344    
140.000000     70.123369      6375703.338    
150.000000     70.123369      6375695.847    
160.000000     70.123370      6375675.839    
